t,value
1655037294,810925
1655037297,810925
1655037300,810925
1655037303,810925
1655037306,810925
1655037309,810925
1655037312,810925
1655037315,810925
1655037318,810925
1655037321,810925
1655037324,810925
1655037327,810925
1655037330,810925
1655037333,810925
1655037336,810925
1655037339,810925
1655037342,810925
1655037345,810925
1655037348,810925
1655037351,810925
1655037354,810925
1655037357,810925
1655037360,810925
1655037363,810925
1655037366,810925
1655037369,810925
1655037372,810925
1655037375,810925
1655037378,810925
1655037381,810925
1655037384,810925
1655037387,810925
1655037390,810925
1655037393,810925
1655037396,810925
1655037399,810925
1655037402,810925
1655037405,810925
1655037408,810925
1655037411,810925
1655037414,810925
1655037417,810925
1655037420,810925
1655037423,810925
1655037426,810925
1655037429,810925
1655037432,810925
1655037435,810925
1655037438,810925
1655037441,810925
1655037444,810925
1655037447,810925
1655037450,810925
1655037453,810925
1655037456,810925
1655037459,810925
1655037462,810925
1655037465,810925
1655037468,810925
1655037471,810925
1655037474,810925
1655037477,810925
1655037480,810925
1655037483,810925
1655037486,810925
1655037489,810925
1655037492,810925
1655037495,810925
1655037498,810925
1655037501,810925
1655037504,810925
1655037507,810925
1655037510,810925
1655037513,810925
1655037516,810925
1655037519,810925
1655037522,810925
1655037525,810925
1655037528,810925
1655037531,810925
1655037534,810925
1655037537,810925
1655037540,810925
1655037543,810925
1655037546,810925
1655037549,810925
1655037552,810925
1655037555,810925
1655037558,810925
1655037561,810925
1655037564,810925
1655037567,810925
1655037570,810925
1655037573,810925
1655037576,810925
1655037579,810925
1655037582,810925
1655037585,810925
1655037588,810925
1655037591,810925
1655037594,810925
1655037597,810925
1655037600,810925
1655037603,810925
1655037606,810925
1655037609,810925
1655037612,810925
1655037615,810925
1655037618,810925
1655037621,810925
1655037624,810925
1655037627,810925
1655037630,810925
1655037633,810925
1655037636,810925
1655037639,810925
1655037642,810925
1655037645,810925
1655037648,810925
1655037651,810925
1655037654,810925
1655037657,810925
1655037660,810925
1655037663,810925
1655037666,810925
1655037669,810925
1655037672,810925
1655037675,810925
1655037678,810925
1655037681,810925
1655037684,810925
1655037687,810925
1655037690,810925
1655037693,810925
1655037696,810925
1655037699,810925
1655037702,810925
