t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037297,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037300,1,0.084841,0.000000,0.000000,0.000000,events/second
1655037303,1,0.068117,0.000000,0.000000,0.000000,events/second
1655037306,1,0.056518,0.000000,0.000000,0.000000,events/second
1655037309,1,0.048072,0.000000,0.000000,0.000000,events/second
1655037312,1,0.038713,0.000000,0.000000,0.000000,events/second
1655037315,1,0.037378,0.000000,0.000000,0.000000,events/second
1655037318,1,0.032795,0.000000,0.000000,0.000000,events/second
1655037321,1,0.030627,0.000000,0.000000,0.000000,events/second
1655037324,1,0.028057,0.000000,0.000000,0.000000,events/second
1655037327,1,0.025869,0.000000,0.000000,0.000000,events/second
1655037330,1,0.023992,0.000000,0.000000,0.000000,events/second
1655037333,1,0.022403,0.000000,0.000000,0.000000,events/second
1655037336,1,0.020990,0.000000,0.000000,0.000000,events/second
1655037339,1,0.019747,0.000000,0.000000,0.000000,events/second
1655037342,1,0.018605,0.000000,0.000000,0.000000,events/second
1655037345,1,0.017655,0.000000,0.000000,0.000000,events/second
1655037348,1,0.016768,0.000000,0.000000,0.000000,events/second
1655037351,1,0.015958,0.000000,0.000000,0.000000,events/second
1655037354,1,0.015236,0.000000,0.000000,0.000000,events/second
1655037357,1,0.014569,0.000000,0.000000,0.000000,events/second
1655037360,1,0.013958,0.000000,0.000000,0.000000,events/second
1655037363,1,0.013397,0.000000,0.000000,0.000000,events/second
1655037366,1,0.012880,0.000000,0.000000,0.000000,events/second
1655037369,1,0.012395,0.000000,0.000000,0.000000,events/second
1655037372,1,0.011948,0.000000,0.000000,0.000000,events/second
1655037375,1,0.011538,0.000000,0.000000,0.000000,events/second
1655037378,1,0.011155,0.000000,0.000000,0.000000,events/second
1655037381,1,0.010790,0.000000,0.000000,0.000000,events/second
1655037384,1,0.010456,0.000000,0.000000,0.000000,events/second
1655037387,1,0.010138,0.000000,0.000000,0.000000,events/second
1655037390,1,0.009839,0.000000,0.000000,0.000000,events/second
